,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
PDGFRA,0.8459840547503055,0.010272410006317905,1.0,0.3024246655624375,0.30326451270893084,0.0005882684378944974,1.0,100.0
S100A2,0.8408172962636061,,,,,,,
KRT13,0.8407978459439649,,,,,,,
SSPN,0.8405243350264778,,,0.0252671163564185,,0.0004414062940967356,,
DKK4,0.8400773504790333,,,,,,,
TFF3,0.8396957595028378,,,,,,,
KRT6A,0.8396150322870236,,,,,,,
CEACAM5,0.8393774336409902,,,,,,,
GLYATL2,0.8392546274243429,,,,,,,
BRF2,0.8391817271082659,,,,,,,
CCDC18,0.838999026559488,,,,,,,
DHCR24,0.8386245523890904,,,,,,,
RPTN,0.8384816465305819,,,,,,,
ALDH3A1,0.8383405168472866,,,,,,,
PLEKHS1,0.8381018458408368,,,,,,,
CALML4,0.8364390340714619,,,,,,,
DNASE2,0.8363350361382104,0.005503343810781916,,,,,,
GIPC1,0.8355553751683603,0.0034367344476622015,,,,,,
CHGA,0.8354732625839422,,,,,,,
SLPI,0.8353267955832315,,,,,,,
GGH,0.8350899001476136,,,,,,,
AKAP6,0.8345403279620695,0.004822920596186246,,,,,,
KRT17,0.8341501563142463,,,,,,,
OVGP1,0.8338902969848037,,,,,,,
GPCPD1,0.8336129597171344,,,,,,,
IL1RN,0.8333761814282127,,,,,,,
MUC5B,0.8333722903727397,,,,,,,
CSTA,0.8332271328697421,,,,,,,
KRT23,0.8331296842720514,,,,,,,
SERPINB5,0.8326998666602482,,,,,,,
MZB1,0.8326750712291067,,,,,,,
SLC27A2,0.8325873764707729,,,,,,,
PRXL2C,0.8325302949188388,,,0.22884947683625254,0.11807893376102081,0.0005628688558958978,,
CRABP1,0.832337706170177,,,,,,,
POF1B,0.8320506091349312,,,,,,,
KRT16,0.8320277219037279,,,,,,,
GBP5,0.8318657462623925,,,,,,,
SFN,0.8317271170274236,,,,,,,
HAPLN3,0.8309608257817773,,,,,,,
FABP4,0.8309086970490661,,,,,,,
IL18,0.8307391456795884,,,,,,,
CAPN13,0.830448993815078,,,,,,,
AQP5,0.8303279633649233,,,,,,,
SERPINI1,0.8302646929568589,,,,,,,
PLBD1,0.8300363889032452,,,,,,,
KRT5,0.8299689513275286,,,,,,,
SOX8,0.8298050353305472,,,,,,,
LY6G6C,0.8296925299852561,,,,,,,
NT5C3A,0.8295831559632437,0.0028216362549064017,,,,,,
CHST6,0.8288796487200598,,,,,,,
LAMA1,0.8288367274786748,,,,,,,
HSPA4L,0.8286485349137851,,,,,,,
RIDA,0.828578041896163,,,,,,,
VTCN1,0.8285051169162245,,,,,,,
CXCL1,0.828358560629028,,,,,,,
ALPP,0.8283568346832528,,,,,,,
SLC4A1AP,0.8283245885888332,,,,,,,
AGMAT,0.8282994463620206,,,,,,,
ASNS,0.8281478928155085,,,,,,,
FCGBP,0.8280787967002273,,,,,,,
RNFT2,0.8280552923686078,,,,,,,
PDIA2,0.8278979653420675,,,,,,,
GPC4,0.8276960661752276,,,,,,,
FABP6,0.8276601105158892,,,,,,,
MT4,0.8276325891441357,,,,,,,
KCTD14,0.8275921158719847,,,,,,,
KRT75,0.8275103523946878,,,,,,,
PAX8,0.8274911187852164,,,,,,,
GNPNAT1,0.8272954977851242,,,,,,,
KLC3,0.8272188847057875,,,,,,,
KIF1A,0.8272087041963776,,,,,,,
SPAG1,0.8270117859977327,,,,,,,
TXLNG,0.8266945564085588,,,,,,,
ADAMTSL2,0.8266053401024536,,,,,,,
PRKCI,0.8265281410733079,,,,,,,
ESF1,0.8263304596484022,,,,,,,
THSD1,0.8261545793100307,,,,,,,
GSPT1,0.8260719950329488,0.005007074645217389,,,,,,
LAD1,0.8260642654985765,,,,,,,
KDM3A,0.8259781743529638,,,,,,,
SMPDL3B,0.8259667468605364,,,,,,,
GRB14,0.8259205447122806,,,,,,,
UFC1,0.8258065163045025,,,,,,,
TDRKH,0.825771564428911,,,,,,,
PTRHD1,0.825605234400734,,,,,,,
CRAT,0.8255087250411144,,,,,,,
GPX2,0.8255065389673899,,,,,,,
HSPE1,0.8253571850323623,,,,,,,
ALPG,0.8253314951412104,,,,,,,
IREB2,0.8251553130429641,,,,,,,
B4GALT1,0.8249444271364181,,,,,,,
QSOX1,0.8247952885185996,,,,,,,
LRIG1,0.8244621794545011,,,,,,,
ATP6V1B1,0.8244003329829033,,,,,,,
S100A14,0.8241814517916468,,,,,,,
PITRM1,0.8238972558232105,,,,,,,
ACBD7,0.8238932026535812,,,,,,,
LAMC2,0.8237570173941154,,,,,,,
VSNL1,0.8235209780934744,,,,,,,
BST2,0.8234426733542761,,,,,,,
PLPP1,,0.010230042819701725,,0.08140114595055613,0.16164471216212062,0.0005423329988046518,,
COX7A1,,0.009600339237369642,,0.3121492094704954,0.3620872216763267,0.0005911847548107355,,
FTH1,,0.008883297722697173,,0.21454582747354006,0.03831142893743615,0.000605644147956469,,
PDGFRB,,0.008859311343791516,,0.02704276380860878,0.0948356262009571,,,
RFTN1,,0.008508977573274774,,0.12978635898705818,0.31207966084209615,0.0004803084305334116,,
