,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
DPP9,0.5028408607930432,0.007211680928954409,,,,,,
IPO9,0.5028408607930432,0.007658026704819775,,,,,,
TRADD,0.5028408607930432,0.008570962980550356,,,,,0.06787295,3.0
DOCK4,0.5028408607930432,0.007837680133795903,,,,,,
PFKP,0.5023040996547377,0.005157781589950209,,,0.016102620466067117,0.00299866046526501,,16.0
EGFR,0.5018852447018775,0.0039705490063179655,,,,,,
NDUFV1,0.5013495393209838,0.006328207682164654,,,,,,2.0
CDK18,0.49969696297919597,0.0035341890502714997,,,,,,
SPTBN2,0.4982152894189168,0.005907590178853872,,,,,,
ALDH4A1,0.497852281882673,,,,0.007531487171827125,,,
SLC22A8,0.49641264886021674,,,,,,,
LNPK,0.4960254621353879,0.004094061706718481,,,,,,
NDUFA8,0.49513897708010374,0.004500704005062872,,,,,,
LRRK2,0.49498679941027474,0.004679448513600588,,,,,,
C19orf33,0.49448600719341157,,,,,,,
HAPLN1,0.4929965634506506,,,,,,,
ENPP3,0.4923641432767246,,,,,,,
NDUFB9,0.49225209345132215,,,,,,,
MGAM,0.4919452745253794,,,,,,,
TPI1,0.49106564090098603,,,,0.00942307587772706,0.0031002516456255674,,
PRPS1,0.4907255372648287,,,,,,,
STAT2,0.49067089875301817,,,,,,,
GFPT1,0.4905196218842911,,,,,,,
RPIA,0.49036321435382213,,,,,,,
FTH1,0.49033928045572334,,,,,,,
GBP5,0.4902752825065684,,,,,,,
HSD3B7,0.4902739583250677,,,,,,,
DDX54,0.49021480492112274,,,,,,,
NCEH1,0.49020985986783017,,,,,,,
HBE1,0.4901232720975687,,,,,,,
GCLM,0.48999157797687964,,,,,,,
PGK1,0.48924516973222965,,,0.0048134286337072315,0.00460837291427485,0.005699724091355516,,
MCM7,0.4891804104440942,,,,,,,
GBP1,0.48905844204478205,,,,,,,
GOLGA3,0.48895518343732375,,,,,,,
SCGN,0.488899792082621,,,,,,,2.0
NT5DC3,0.48857360741197914,0.004630922770048893,,,,,,2.0
ABCC3,0.4884424747421043,,,,,,,
ITGAL,0.48808853486318454,,,,,,0.023445489,10.0
MICAL3,0.48774438582401575,,,,,,,
SLC2A1,0.4876211034779962,,,,,,,
NDRG1,0.4875887282440839,,,0.01711857317989509,0.02293366342777463,0.00275443285257216,,
NEFL,0.4874648228564978,,,,,,,
PLOD3,0.4874568738956093,0.0068669055184512485,,,,,,
GBP4,0.4874126862029582,,,,,,,
NNMT,0.4871564095598944,,,,0.0022258818037380664,0.0014466693791744026,,
EPB41,0.4870973388105491,,,,,,,
PTGR3,0.4870754364465139,,,,,,,
BPNT2,0.48685371712932746,,,,,,,
UAP1,0.48652367511851907,,,,,,,
NDUFS1,0.48576628080029366,0.0028816203394067402,,,,,,2.0
SNX33,0.4856212480834494,,,,,,,
HPCAL1,0.48556561536203613,,,,,,,
SDAD1,0.4854273467057725,,,,,,,
DERL1,0.4849188625555464,,,,,,,
P4HB,0.4848337179163737,,,0.0022926552306015446,0.004040787887257817,0.001890313950998333,,
PRDX4,0.4848269289661994,0.003054282993383822,,,,,,
PLIN2,0.484601737257549,,,0.006374548924621728,0.002420914750902968,0.002688442963229044,,
SEMA5B,0.48439294850005893,,,,,,,
PPIP5K2,0.484329785554637,0.005331315409412959,,,,,,
NR3C1,0.4843178682388848,,,,,,,
NFATC2,0.48431228288220796,,,,,,,
HAVCR1,0.4842362152291183,,,,,,,
CAV1,0.4841230789527231,,,,,,,
BRIX1,0.48411053727424425,0.007734170677539771,,,,,,7.0
